Source,Type,Target,Weight
Gertrude_Ham,Undirected,Gravedigger_Ham,1
Gertrude_Ham,Undirected,GravediggersCompanion_Ham,1
Gertrude_Ham,Undirected,Doctor_Ham,1
Gertrude_Ham,Undirected,ATTENDANTS_Ham,2
Gertrude_Ham,Undirected,Osric_Ham,1
Gertrude_Ham,Undirected,ATTENDANTS.2_Ham,1
Gertrude_Ham,Undirected,Fortinbras_Ham,1
Gertrude_Ham,Undirected,AMBASSADORS_Ham,1
Ophelia_Ham,Undirected,Reynaldo_Ham,1
Ophelia_Ham,Undirected,Rosencrantz_Ham,2
Ophelia_Ham,Undirected,Guildenstern_Ham,2
Ophelia_Ham,Undirected,PLAYERS.0.1_Ham,1
Ophelia_Ham,Undirected,PLAYERS.Prologue_Ham,1
Ophelia_Ham,Undirected,PLAYERS.King_Ham,1
Ophelia_Ham,Undirected,PLAYERS.Queen_Ham,1
Ophelia_Ham,Undirected,PLAYERS.Lucianus_Ham,1
Ophelia_Ham,Undirected,ATTENDANTS.1_Ham,1
Ophelia_Ham,Undirected,MESSENGERS.1_Ham,1
Ophelia_Ham,Undirected,FOLLOWERS.LAERTES_Ham,1
Rosencrantz_Ham,Undirected,Guildenstern_Ham,5
Rosencrantz_Ham,Undirected,PLAYERS.1_Ham,1
Rosencrantz_Ham,Undirected,PLAYERS.0.1_Ham,1
Rosencrantz_Ham,Undirected,PLAYERS.Prologue_Ham,1
Rosencrantz_Ham,Undirected,PLAYERS.King_Ham,1
Rosencrantz_Ham,Undirected,PLAYERS.Queen_Ham,1
Rosencrantz_Ham,Undirected,PLAYERS.Lucianus_Ham,1
Rosencrantz_Ham,Undirected,ATTENDANTS.GUARDS_Ham,1
Rosencrantz_Ham,Undirected,Fortinbras_Ham,1
Rosencrantz_Ham,Undirected,SOLDIERS.FORTINBRAS.Captain_Ham,1
Guildenstern_Ham,Undirected,PLAYERS.1_Ham,1
Guildenstern_Ham,Undirected,PLAYERS.0.1_Ham,1
Guildenstern_Ham,Undirected,PLAYERS.Prologue_Ham,1
Guildenstern_Ham,Undirected,PLAYERS.King_Ham,1
Guildenstern_Ham,Undirected,PLAYERS.Queen_Ham,1
Guildenstern_Ham,Undirected,PLAYERS.Lucianus_Ham,1
Guildenstern_Ham,Undirected,ATTENDANTS.GUARDS_Ham,1
PLAYERS.0.1_Ham,Undirected,PLAYERS.Prologue_Ham,1
PLAYERS.0.1_Ham,Undirected,PLAYERS.King_Ham,1
PLAYERS.0.1_Ham,Undirected,PLAYERS.Queen_Ham,1
PLAYERS.0.1_Ham,Undirected,PLAYERS.Lucianus_Ham,1
PLAYERS.Prologue_Ham,Undirected,PLAYERS.King_Ham,1
PLAYERS.Prologue_Ham,Undirected,PLAYERS.Queen_Ham,1
PLAYERS.Prologue_Ham,Undirected,PLAYERS.Lucianus_Ham,1
PLAYERS.King_Ham,Undirected,PLAYERS.Queen_Ham,1
PLAYERS.King_Ham,Undirected,PLAYERS.Lucianus_Ham,1
PLAYERS.Queen_Ham,Undirected,PLAYERS.Lucianus_Ham,1
Fortinbras_Ham,Undirected,SOLDIERS.FORTINBRAS.Captain_Ham,1
Fortinbras_Ham,Undirected,Osric_Ham,1
Fortinbras_Ham,Undirected,ATTENDANTS.2_Ham,1
Fortinbras_Ham,Undirected,ATTENDANTS_Ham,1
Fortinbras_Ham,Undirected,AMBASSADORS_Ham,1
ATTENDANTS.1_Ham,Undirected,MESSENGERS.1_Ham,1
ATTENDANTS.1_Ham,Undirected,FOLLOWERS.LAERTES_Ham,1
MESSENGERS.1_Ham,Undirected,FOLLOWERS.LAERTES_Ham,1
ATTENDANTS.0.1_Ham,Undirected,SAILORS.0.1_Ham,1
Gravedigger_Ham,Undirected,GravediggersCompanion_Ham,1
Gravedigger_Ham,Undirected,Doctor_Ham,1
Gravedigger_Ham,Undirected,ATTENDANTS_Ham,1
GravediggersCompanion_Ham,Undirected,Doctor_Ham,1
GravediggersCompanion_Ham,Undirected,ATTENDANTS_Ham,1
Doctor_Ham,Undirected,ATTENDANTS_Ham,1
ATTENDANTS_Ham,Undirected,Osric_Ham,1
ATTENDANTS_Ham,Undirected,ATTENDANTS.2_Ham,1
ATTENDANTS_Ham,Undirected,AMBASSADORS_Ham,1
Osric_Ham,Undirected,ATTENDANTS.2_Ham,1
Osric_Ham,Undirected,AMBASSADORS_Ham,1
ATTENDANTS.2_Ham,Undirected,AMBASSADORS_Ham,1
